application_id,service,lms_application_id,site_lat,site_long
160521    ,FM ,25076f917c0a7656017c199da4240616 ,35.58981,-82.67372 
1765644   ,FM ,2abd2336f7464ba588c0c1b6063ebeb7 ,34.96064,-78.76933 
1783421   ,FX ,490f3ece79bd48558c36c1b6063ebeb7 ,35.59344,-77.38031 
583289    ,FM ,4565abc9f324454b8d50c1b6063ebeb7 ,35.72625,-81.14758 
1679382   ,FM ,7dc056e64013458390f3c1b6063ebeb7 ,34.09786,-77.97144 
188801    ,FM ,25076ff37fc69a77017ff1c048db09d4 ,36.35119,-79.78733 
1539388   ,FM ,bfeda4c2ed84486da3efc1b6063ebeb7 ,36.35131,-79.78708 
1346399   ,FX ,ff84e5fa0a5f489f8fa8c1b6063ebeb7 ,35.00986,-80.58061 
1127337   ,FL ,1e7fd2d9a5754d8999d8c1b6063ebeb7 ,35.21903,-80.00450 
1733283   ,FM ,32d9ae4aa57d413c9ea3c1b6063ebeb7 ,35.78764,-78.67028 
1547001   ,FM ,ca2ca274b365485dbcbbc1b6063ebeb7 ,35.55986,-79.68392 
186476    ,FM ,25076ff37ec8c149017ecb55c5f60000 ,35.58480,-75.46192 
190311    ,FM ,25076ff380a284940180aa5a83750082 ,35.58480,-75.46192 
195307    ,FM ,25076f9181cf085d0181cf357ef0002f ,35.48750,-77.04472 
1510763   ,FX ,017c87bbec094828926ac1b6063ebeb7 ,46.91889,-102.73019
1699264   ,FL ,0c35d866511a4c538f45c1b6063ebeb7 ,46.87442,-96.78453 
1658264   ,FM ,d847715d788141b28276c1b6063ebeb7 ,46.91025,-98.70814 
166718    ,FM ,25076f917cce2f5b017cd1efae2406b2 ,48.21556,-101.31861
1517317   ,FX ,a5e47386e0024c24a465c1b6063ebeb7 ,48.11058,-103.44408
1755754   ,FM ,127ce577f0c942b8a1a9c1b6063ebeb7 ,42.68481,-103.41483
179701    ,FM ,25076f917e3a9858017e4ba519850587 ,40.57856,-98.33092 
167330    ,FM ,25076f917d9743a4017da0cdee23070a ,41.25222,-103.66417
166702    ,FM ,25076f917d5254f2017d827680051c2b ,40.21278,-100.65250
1231870   ,FM ,30c92bb60b724de1991fc1b6063ebeb7 ,42.46333,-96.61750 
1393701   ,FM ,05df60b3b4dd4871a5abc1b6063ebeb7 ,41.31111,-96.02725 
166891    ,FM ,25076f917ce2e04b017cf0b16e46378f ,41.49831,-99.42114 
1789754   ,FM ,1ee45393c1554829aedbc1b6063ebeb7 ,40.21733,-74.01011 
1412314   ,FM ,9b6d56604b534d1898c8c1b6063ebeb7 ,39.75094,-74.11928 
1788332   ,FM ,4b95d868037040e18ba4c1b6063ebeb7 ,39.72817,-74.84378 
1755689   ,FM ,16acbba7a1354b3d9222c1b6063ebeb7 ,39.12983,-74.78794 
1284041   ,FM ,29ebccab10a945d289a3c1b6063ebeb7 ,40.94039,-74.61294 
233490    ,FM ,a8b24c56abe74a728a85c1b6063ebeb7 ,40.28289,-74.68600 
167291    ,FM ,25076ff37e3a985c017e447f217a01f7 ,34.43889,-103.21111
275800    ,FX ,8ec80ea1c5374326b269c1b6063ebeb7 ,34.43981,-103.21272
1632695   ,FM ,21d10c7d05c940a496dac1b6063ebeb7 ,36.68308,-104.41442
1231653   ,FM ,f8b6b278c32c4ae6958ec1b6063ebeb7 ,36.67111,-108.23231
1746647   ,FM ,2e526799cfbd4b41a28cc1b6063ebeb7 ,35.54086,-108.74397
158980    ,FM ,25076f917bc775dd017bcbbf57b70229 ,35.60428,-108.68125
1230986   ,FM ,be39670abf9541cc9cccc1b6063ebeb7 ,35.11919,-107.90117
1522779   ,FM ,98facd80c2a642f5afe6c1b6063ebeb7 ,32.86200,-108.24169
1276156   ,FX ,63477e405ec14ad1a34ac1b6063ebeb7 ,32.26064,-106.76722
180824    ,FM ,25076f917e74a18e017e7f4a5e26051c ,35.60364,-105.25889
1728883   ,FX ,064f767e34be4e299edbc1b6063ebeb7 ,35.60364,-105.25889
167512    ,FM ,25076f917ce2e04b017cfb140ff46a9d ,33.39333,-104.62472
167009    ,FM ,25076ff37e74a1a3017e797a23b5027d ,35.13583,-103.69944
1800074   ,FM ,7ed8f14c383a4eda8d7fc1b6063ebeb7 ,32.82981,-105.88664
167826    ,FM ,25076f917ce2e04b017d06bfcedc0219 ,37.60069,-114.50978
162601    ,FM ,25076f917c2e852d017c46c9f6fa1506 ,40.70019,-115.90283
1506333   ,FM ,c0587b415076498183a9c1b6063ebeb7 ,40.70019,-115.90283
187365    ,FM ,baa4d17196884c60bbf5c1b6063ebeb7 ,36.00858,-115.00692
1563286   ,FX ,8e60a56dad6840fba871c1b6063ebeb7 ,36.81806,-114.06214
